Disease_Name,Common_Symptoms,Transmission,Treatment
Influenza,"Fever, cough, sore throat, muscle aches",Airborne droplets,"Rest, fluids, antivirals (e.g., Oseltamivir)"
Common Cold,"Sneezing, runny nose, congestion",Direct contact,"Symptomatic relief, rest"
COVID-19,"Fever, loss of taste/smell, fatigue",Aerosols/droplets,"Vaccination, antivirals, supportive care"
Malaria,"Fever, chills, headache, fatigue",Mosquito bites,"Antimalarial drugs (e.g., Artemisinin-based combination therapies)"
Typhoid Fever,"High fever, headache, abdominal pain, weakness",Contaminated food/water,"Antibiotics (e.g., Ciprofloxacin, Azithromycin), hydration"
Cholera,"Severe diarrhea, vomiting, dehydration",Contaminated water/food,"Oral rehydration salts (ORS), IV fluids, antibiotics"
Tuberculosis,"Persistent cough, fever, night sweats, weight loss",Airborne droplets,"Long-term antibiotic treatment (e.g., RIPE regimen)"
Ebola,"Fever, fatigue, muscle pain, diarrhea, vomiting, rash",Direct contact with bodily fluids,"Supportive care, fluid replacement, experimental treatments"
Dengue Fever,"High fever, severe headache, joint/muscle pain, rash",Mosquito bites,"Pain relievers (avoid NSAIDs), fluid management"
Zika Virus,"Fever, rash, joint pain, conjunctivitis",Mosquito bites, sexual contact,"Supportive care, rest, hydration"
